,Crystal_Structure,Mohs_Hardness,Diaphaneity,Specific_Gravity,Optical,Refractive_Index,Dispersion,Molar_Mass,Molar_Volume,Calculated_Density
174,3.0,3.5,3.0,2.29,4.0,1.787,0.0,297.2331200000001,0.11209644,2.201
175,2.0,0.0,0.0,0.0,0.0,0.0,0.0,352.57764,0.07849808,3.728
176,2.0,6.25,3.0,3.245,4.0,1.588,0.0,485.590356,0.08969546,4.493
177,3.0,3.25,2.0,6.55,4.0,1.984,0.055,251.2098,0.02241561,9.302
178,3.0,4.5,3.0,6.5,4.0,2.051,0.0,307.5176,0.0448204,5.695
179,5.0,2.5,2.0,2.99,3.0,1.567,0.0,304.290504,0.03378949999999998,7.475
180,1.0,2.5,2.0,2.21,4.0,1.531,0.0,303.1526,0.10079458,2.496
181,2.0,1.5,0.0,2.27,0.0,0.0,0.0,279.558016,0.12324931,1.883
182,5.0,2.0,2.0,2.605,3.0,1.595,0.0,413.11924900000014,0.19049767,1.8
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.7618,0.0552323,9.479
184,3.0,7.0,1.0,3.49,4.0,1.7380000000000002,0.0,483.93605,0.15663078,2.564
185,2.0,3.0,0.0,0.0,0.0,0.0,0.0,526.609217,0.04499144,9.715
186,5.0,5.5,3.0,0.0,3.0,0.0,0.0,794.5033799999999,0.05604569999999999,11.765999999999998
187,2.0,2.5,0.0,3.72,0.0,1.92,0.0,302.6975,0.05603539,4.484
188,2.0,5.5,2.0,2.56,4.0,1.554,0.0,2024.358739,0.5717905,2.939
189,3.0,2.25,3.0,3.23,4.0,1.63,0.0,1518.2382,0.31387081,4.015
190,0.0,2.0,0.0,5.556,2.0,2.071,0.0,143.3209,0.0110403,10.775
191,1.0,6.5,2.0,3.63,4.0,1.727,0.0,408.619308,0.10086839,3.362
192,6.0,0.0,3.0,2.85,2.0,1.629,0.0,142.039278,0.033633880000000005,3.505
193,2.0,6.25,2.0,3.18,4.0,1.631,0.0,256.850843,0.07845319,2.717
194,0.0,5.5,1.0,4.65,2.0,2.12,0.0,123.8425,0.01121032,9.169
195,3.0,8.5,0.0,3.67,4.0,1.749,0.015,110.973458,0.03361286,2.74
196,2.0,2.75,2.0,0.0,4.0,1.57,0.0,277.11499999999995,0.0561182,4.099
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.017468,0.022428299999999998,10.844
198,2.0,2.15,3.0,4.145,4.0,1.933,0.0,197.84138000000002,0.0336142,4.885
199,2.0,0.0,0.0,0.0,0.0,0.0,0.0,380.58119000000005,0.04487237,7.04
200,2.0,5.5,2.0,3.305,4.0,1.666,0.0,215.56637999999998,0.07844715999999999,2.281
201,2.0,6.0,2.0,3.26,4.0,1.675,0.0,389.576943,0.1232808,2.623
202,2.0,6.5,2.0,3.35,4.0,1.719,0.0,509.34331700000007,0.11209253,3.771
203,2.0,2.88,2.0,3.05,4.0,1.654,0.0,211.437778,0.03367798,5.211
204,2.0,7.5,3.0,0.0,4.0,1.596,0.0,240.3372,0.0896164,2.226
205,2.0,4.5,2.0,2.42,4.0,1.597,0.0,373.3865,0.13447062,2.305
206,1.0,3.25,2.0,2.99,4.0,1.644,0.0,177.369642,0.0784569,1.876
207,5.0,0.0,3.0,2.844,3.0,1.598,0.0,202.219236,0.0336995,4.981
208,3.0,4.5,2.0,4.3,4.0,1.809,0.0,283.8555300000001,0.06725009,3.503
209,5.0,3.0,2.0,3.385,3.0,1.742,0.0,706.4850400000001,0.07800131,7.518
210,3.0,7.25,2.0,2.615,0.0,1.5519999999999998,0.0,282.542978,0.06725690000000001,3.487
